Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.0488,HX300BD / H300BD,1020,Thermodur 2999 Superclean,S31803,,A478,,Libanon
,,,,,,,,,,,,1.0490,GS-45 / GE240,Grade Type 42,Rapidur 3202,S32205,,A479,,Liberia
,,,,,,,,,,,,1.0491,P215NL,Grade 42,Rapidur 3207,S31803/S32205,,A480,,Libyen
,,,,,,,,,,,,1.0497,StE240.7 / L245NB,Type 42,EMo5Co5,S31050,,A485,,Liechtenstein
,,,,,,,,,,,,1.0498,L235GA,42,Rapidur 3243,N08700,,A487,,Litauen
,,,,,,,,,,,,1.0499,RRStE240.7 / L245GA,Grade Type D,EMo9CoH,S32760,,A492,,Luxemburg
,,,,,,,,,,,,1.0501,C22.8 / P250GH,Grade D,Rapidur 3247,S32520,,A493,,Madagaskar
,,,,,,,,,,,,1.0503,C22.8 / C22G2 / P250GH,Type D,Rapidur 3333,S32550,,A494,,Malawi
,,,,,,,,,,,,1.0506,StE255 / S255N,D,DMO5,S44100,,A500,,Malaysia
,,,,,,,,,,,,1.0508,WStE255 / P255NH,Grade Type 36,Rapidur 3343,S43940,,A501,,Malediven
,,,,,,,,,,,,1.0511,TStE255 / P255NL,Grade 36,Rapidur 3344,S43036,,A506,,Mali
,,,,,,,,,,,,1.0515,C14 / 15Mn3,Type 36,Durapur 3505,S40900,,A507,,Malta
,,,,,,,,,,,,1.0516,21Mn4,36,Durapur 3520,S44400,,A508,,Marokko
,,,,,,,,,,,,1.0520,19Mn6 / P355GH,Grade Type CS Type C,VDM MAG 36,N08926,,A510,,Westsahara
,,,,,,,,,,,,1.0524,S235J2S1 / GL-D,Grade CS Type C,Alloy MAG 36,S15700,,A511,,Marshallinseln
,,,,,,,,,,,,1.0528,S235J4S / GL-E,Type CS Type C,Magnifer 36,S13800,,A512,,Mauretanien
,,,,,,,,,,,,1.0529,17Mn4 / P295GH,CS Type C,Alloy 36,N08904,,A513,,Mauritius
,,,,,,,,,,,,1.0530,19Mn5 / P310GH,Grade Type SS230,Pernifer 36,S32100,,A514,,Mexiko
,,,,,,,,,,,,1.0531,L290GA,Grade SS230,Invar 36,S32100/32109,,A515,,Mikronesien
,,,,,,,,,,,,1.0532,StE290.7TM / L290NB,Type SS230,VDM Alloy 36,S17400,,A516,,Moldau
,,,,,,,,,,,,1.0533,21Mn6,SS230,36,S15500,,A517,,Transnistrien
,,,,,,,,,,,,1.0535,StE285 / P275N,Grade Type SS255,NILO Alloy 36,S34800,,A519,,Monaco
,,,,,,,,,,,,1.0539,WStE285 / P275NH,Grade SS255,Invar Alloy36,S34809,,A521,,Mongolei
,,,,,,,,,,,,1.0540,TStE285 / P275NL1,Type SS255,NILO 36,S31254,,A522,,Montenegro
,,,,,,,,,,,,1.0541,StE285 / S275N,SS255,VDM Alloy 36 Powerline,S17480,,A523,,Mosambik
,,,,,,,,,,,,1.0543,TStE285 / S275NL,Grade Type SS275,Alloy 36 Powerline,S34700,,A524,,Myanmar
,,,,,,,,,,,,1.0545,TStE285N / S275NLH,Grade SS275,VDM Alloy 42,S34700/S34709,,A529,,Namibia
,,,,,,,,,,,,1.0546,St42.8 / P255G2TH,Type SS275,Alloy 42,J92710,,A53,,Nauru
,,,,,,,,,,,,1.0547,St42.8 / 265GH,SS275,42,N08800,,A530,,Nepal
,,,,,,,,,,,,1.0549,L360GA,Grade Type SS340 Cl.4,Invar 42,N08031,,A533,,Neuseeland
,,,,,,,,,,,,1.0552,C35,Grade SS340 Cl.4,NILO 42,N08028,,A534,,Nicaragua
,,,,,,,,,,,,1.0553,C45,Type SS340 Cl.4,NILO Alloy 42,S34565,,A537,,Niederlande
,,,,,,,,,,,,1.0557,WStE315 / P315NH,SS340 Cl.4,Dilaton 42,S30430,,A540,,Aruba
,,,,,,,,,,,,1.0558,TStE315 / P315NL,Grade Type 340,VDM Ni 42 Ti,S17700,,A541,,Curaçao
,,,,,,,,,,,,1.0561,C40,Grade 340   ,Alloy Ni 42 Ti,S31635,,A542,,Sint Maarten
,,,,,,,,,,,,1.0562,S315G3S / GL-EH32,Type 340   ,Ni 42 Ti,S32803,,A553,,Niger
,,,,,,,,,,,,1.0563,S315G3S / GL-E32,340,VDM Alloy 902,S31640,,A554,,Nigeria
,,,,,,,,,,,,1.0564,"S315G3S / GL-EH32, GL-E32",Grade Type SS340 Cl.2,Alloy 902,J92900,,A556,,Niue
,,,,,,,,,,,,1.0565,C38D,Grade SS340 Cl.2,902,J94651,,A564,,Nordmazedonien
,,,,,,,,,,,,1.0566,31MN4,Type SS340 Cl.2,NI-SPAN-C Alloy 902,S42035,,A568,,Nordzypern
,,,,,,,,,,,,1.0570,StSch800 / R220,SS340 Cl.2,Dilaton 46,R20033,,A565,,Norwegen
,,,,,,,,,,,,1.0571,C30,Type A Type S ,Dilaton 48,S32654,,A572,,Svalbard
,,,,,,,,,,,,1.0576,StE350-3Z / S350GD,Grade Type A ,NILO Alloy 48,S44600,,A573,,Oman
