Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,,,WP22 Class 3,,,,,,
,,,,,,,,,,,,,,Grade Type P22,,,,,,
,,,,,,,,,,,,,,Grade P22,,,,,,
,,,,,,,,,,,,,,Type P22,,,,,,
,,,,,,,,,,,,,,P22,,,,,,
,,,,,,,,,,,,,,Grade Type FP22,,,,,,
,,,,,,,,,,,,,,Grade FP22,,,,,,
,,,,,,,,,,,,,,Type FP22,,,,,,
,,,,,,,,,,,,,,FP22,,,,,,
,,,,,,,,,,,,,,Grade Type 22,,,,,,
,,,,,,,,,,,,,,Grade 22,,,,,,
,,,,,,,,,,,,,,Type 22,,,,,,
,,,,,,,,,,,,,,22,,,,,,
,,,,,,,,,,,,,,Grade 3  ,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21590,,,,,,
,,,,,,,,,,,,,,Grade UNS K21590,,,,,,
,,,,,,,,,,,,,,Type UNS K21590,,,,,,
,,,,,,,,,,,,,,UNS K21590,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21390,,,,,,
,,,,,,,,,,,,,,Grade UNS K21390,,,,,,
,,,,,,,,,,,,,,Type UNS K21390,,,,,,
,,,,,,,,,,,,,,UNS K21390,,,,,,
,,,,,,,,,,,,,,Grade Type 8 Class B,,,,,,
,,,,,,,,,,,,,,Grade 8 Class B,,,,,,
,,,,,,,,,,,,,,Type 8 Class B,,,,,,
,,,,,,,,,,,,,,8 Class B,,,,,,
,,,,,,,,,,,,,,Grade Type 8 Class C,,,,,,
,,,,,,,,,,,,,,Grade 8 Class C,,,,,,
,,,,,,,,,,,,,,Type 8 Class C,,,,,,
,,,,,,,,,,,,,,8 Class C,,,,,,
,,,,,,,,,,,,,,Grade Type CP22,,,,,,
,,,,,,,,,,,,,,Grade CP22,,,,,,
,,,,,,,,,,,,,,Type CP22,,,,,,
,,,,,,,,,,,,,,CP22,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J22091,,,,,,
,,,,,,,,,,,,,,Grade UNS J22091,,,,,,
,,,,,,,,,,,,,,Type UNS J22091,,,,,,
,,,,,,,,,,,,,,UNS J22091,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J21890,,,,,,
,,,,,,,,,,,,,,Grade UNS J21890,,,,,,
,,,,,,,,,,,,,,Type UNS J21890,,,,,,
,,,,,,,,,,,,,,UNS J21890,,,,,,
,,,,,,,,,,,,,,Grade Type F22  ,,,,,,
,,,,,,,,,,,,,,Grade F22  ,,,,,,
,,,,,,,,,,,,,,Type F22 ,,,,,,
,,,,,,,,,,,,,,F22,,,,,,
,,,,,,,,,,,,,,Grade Type F22  Class 1,,,,,,
,,,,,,,,,,,,,,Grade F22  Class 1,,,,,,
,,,,,,,,,,,,,,Type F22 Class 1,,,,,,
,,,,,,,,,,,,,,F22 Class 1,,,,,,
,,,,,,,,,,,,,,Grade Type F22  Class 3,,,,,,
,,,,,,,,,,,,,,Grade F22  Class 3,,,,,,
,,,,,,,,,,,,,,Grade Type F22 Cl. 1/F22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade F22 Cl. 1/F22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type F22 Cl. 1/F22 Cl. 3,,,,,,
,,,,,,,,,,,,,,F22 Cl. 1/F22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type P22 Class 1,,,,,,
,,,,,,,,,,,,,,Grade P22 Class 1,,,,,,
,,,,,,,,,,,,,,Type P22 Class 1,,,,,,
,,,,,,,,,,,,,,P22 Class 1,,,,,,
,,,,,,,,,,,,,,Grade Type P22 Class 3,,,,,,
,,,,,,,,,,,,,,Grade P22 Class 3,,,,,,
,,,,,,,,,,,,,,Type P22 Class 3,,,,,,
,,,,,,,,,,,,,,P22 Class 3,,,,,,
,,,,,,,,,,,,,,Grade Type P22 Cl.1/P22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade P22 Cl.1/P22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type P22 Cl.1/P22 Cl. 3,,,,,,
,,,,,,,,,,,,,,P22 Cl.1/P22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type T22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade T22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type T22 Cl. 1,,,,,,
,,,,,,,,,,,,,,T22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type T22 Cl. 1/T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade T22 Cl. 1/T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type T22 Cl. 1/T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,T22 Cl. 1/T22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type 22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade 22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type 22 Cl. 1,,,,,,
,,,,,,,,,,,,,,22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type WP22,,,,,,
,,,,,,,,,,,,,,Grade WP22,,,,,,
,,,,,,,,,,,,,,Type WP22,,,,,,
,,,,,,,,,,,,,,WP22,,,,,,
,,,,,,,,,,,,,,Grade Type WP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade WP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type WP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,WP22 cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type WP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade WP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type WP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,WP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type WP22W,,,,,,
,,,,,,,,,,,,,,Grade WP22W,,,,,,
,,,,,,,,,,,,,,Type WP22W,,,,,,
,,,,,,,,,,,,,,WP22W,,,,,,
,,,,,,,,,,,,,,Grade Type WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Type WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Type WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type WP22/WP22W,,,,,,
,,,,,,,,,,,,,,Grade WP22/WP22W,,,,,,
,,,,,,,,,,,,,,Type WP22/WP22W,,,,,,
,,,,,,,,,,,,,,WP22/WP22W,,,,,,
,,,,,,,,,,,,,,Grade Type WP22/WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade WP22/WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Type WP22/WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,WP22/WP22W Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type WP22/WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade WP22/WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Type WP22/WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,WP22/WP22W Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type TP22,,,,,,
,,,,,,,,,,,,,,Grade TP22,,,,,,
,,,,,,,,,,,,,,Type TP22,,,,,,
,,,,,,,,,,,,,,TP22,,,,,,
,,,,,,,,,,,,,,Grade Type TP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade TP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type TP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,TP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type TP22 Cl. 1/TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade TP22 Cl. 1/TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type TP22 Cl. 1/TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,TP22 Cl. 1/TP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type FP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade FP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type FP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,FP22 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type FP22 Cl. 1/FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade FP22 Cl. 1/FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Type FP22 Cl. 1/FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,FP22 Cl. 1/FP22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type 22 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade 22 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type 22 Cl. 2,,,,,,
,,,,,,,,,,,,,,22 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type B22,,,,,,
,,,,,,,,,,,,,,Grade B22,,,,,,
,,,,,,,,,,,,,,Type B22,,,,,,
,,,,,,,,,,,,,,B22,,,,,,
,,,,,,,,,,,,,,"Grade Type 22, Class 4",,,,,,
,,,,,,,,,,,,,,Grade 22 Class 4,,,,,,
,,,,,,,,,,,,,,Type 22 Class 4,,,,,,
,,,,,,,,,,,,,,22 Class 4,,,,,,
,,,,,,,,,,,,,,Grade Type WC9,,,,,,
,,,,,,,,,,,,,,Grade WC9,,,,,,
,,,,,,,,,,,,,,Type WC9,,,,,,
,,,,,,,,,,,,,,WC9,,,,,,
,,,,,,,,,,,,,,F22 Cl. 1,,,,,,
,,,,,,,,,,,,,,F22 Cl. 3,,,,,,
,,,,,,,,,,,,,,P22 Cl. 1,,,,,,
,,,,,,,,,,,,,,P22 Cl. 3,,,,,,
,,,,,,,,,,,,,,Grade Type F9,,,,,,
,,,,,,,,,,,,,,Grade F9,,,,,,
,,,,,,,,,,,,,,Type F9,,,,,,
,,,,,,,,,,,,,,F9 ,,,,,,
,,,,,,,,,,,,,,Grade Type F9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade F9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type F9 Cl. 1,,,,,,
,,,,,,,,,,,,,,F9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type P9,,,,,,
,,,,,,,,,,,,,,Grade P9,,,,,,
,,,,,,,,,,,,,,Type P9,,,,,,
,,,,,,,,,,,,,,P9 ,,,,,,
,,,,,,,,,,,,,,Grade Type P9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade P9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type P9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type T9,,,,,,
,,,,,,,,,,,,,,Grade T9,,,,,,
,,,,,,,,,,,,,,Type T9,,,,,,
,,,,,,,,,,,,,,T9 ,,,,,,
,,,,,,,,,,,,,,Grade Type T9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade T9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type T9 Cl. 1,,,,,,
,,,,,,,,,,,,,,T9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type 9CR,,,,,,
,,,,,,,,,,,,,,Grade 9CR,,,,,,
,,,,,,,,,,,,,,Type 9CR,,,,,,
,,,,,,,,,,,,,,9CR,,,,,,
,,,,,,,,,,,,,,Grade Type WP9,,,,,,
,,,,,,,,,,,,,,Grade WP9,,,,,,
,,,,,,,,,,,,,,Type WP9,,,,,,
,,,,,,,,,,,,,,WP9,,,,,,
,,,,,,,,,,,,,,Grade Type WP9/WP9W,,,,,,
,,,,,,,,,,,,,,Grade WP9/WP9W,,,,,,
,,,,,,,,,,,,,,Type WP9/WP9W,,,,,,
,,,,,,,,,,,,,,WP9/WP9W,,,,,,
,,,,,,,,,,,,,,Grade Type WP9W,,,,,,
,,,,,,,,,,,,,,Grade WP9W,,,,,,
,,,,,,,,,,,,,,Type WP9W,,,,,,
,,,,,,,,,,,,,,WP9W,,,,,,
,,,,,,,,,,,,,,Grade Type TP9,,,,,,
,,,,,,,,,,,,,,Grade TP9,,,,,,
,,,,,,,,,,,,,,Type TP9,,,,,,
,,,,,,,,,,,,,,TP9   ,,,,,,
,,,,,,,,,,,,,,Grade Type TP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade TP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type TP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,TP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type FP9,,,,,,
,,,,,,,,,,,,,,Grade FP9,,,,,,
,,,,,,,,,,,,,,Type FP9,,,,,,
,,,,,,,,,,,,,,FP9   ,,,,,,
,,,,,,,,,,,,,,Grade Type FP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade FP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type FP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,FP9 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type 9,,,,,,
,,,,,,,,,,,,,,Grade 9,,,,,,
,,,,,,,,,,,,,,Type 9,,,,,,
,,,,,,,,,,,,,,9,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K90941,,,,,,
,,,,,,,,,,,,,,Grade UNS K90941,,,,,,
,,,,,,,,,,,,,,Type UNS K90941,,,,,,
,,,,,,,,,,,,,,UNS K90941,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S50400,,,,,,
,,,,,,,,,,,,,,Grade UNS S50400,,,,,,
,,,,,,,,,,,,,,Type UNS S50400,,,,,,
,,,,,,,,,,,,,,UNS S50400,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S50488,,,,,,
,,,,,,,,,,,,,,Grade UNS S50488,,,,,,
,,,,,,,,,,,,,,Type UNS S50488,,,,,,
,,,,,,,,,,,,,,UNS S50488,,,,,,
,,,,,,,,,,,,,,Grade Type C12,,,,,,
,,,,,,,,,,,,,,Grade C12,,,,,,
,,,,,,,,,,,,,,Type C12,,,,,,
,,,,,,,,,,,,,,C12,,,,,,
,,,,,,,,,,,,,,Grade Type CP9,,,,,,
,,,,,,,,,,,,,,Grade CP9,,,,,,
,,,,,,,,,,,,,,Type CP9,,,,,,
,,,,,,,,,,,,,,CP9,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J82090,,,,,,
,,,,,,,,,,,,,,Grade UNS J82090,,,,,,
,,,,,,,,,,,,,,Type UNS J82090,,,,,,
,,,,,,,,,,,,,,UNS J82090,,,,,,
,,,,,,,,,,,,,,Grade Type 6118,,,,,,
,,,,,,,,,,,,,,Grade 6118,,,,,,
,,,,,,,,,,,,,,Type 6118,,,,,,
,,,,,,,,,,,,,,6118,,,,,,
,,,,,,,,,,,,,,Grade Type C24,,,,,,
,,,,,,,,,,,,,,Grade C24,,,,,,
,,,,,,,,,,,,,,Type C24,,,,,,
,,,,,,,,,,,,,,C24,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J21610,,,,,,
,,,,,,,,,,,,,,Grade UNS J21610,,,,,,
,,,,,,,,,,,,,,Type UNS J21610,,,,,,
,,,,,,,,,,,,,,UNS J21610,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J12092,,,,,,
,,,,,,,,,,,,,,Grade UNS J12092,,,,,,
,,,,,,,,,,,,,,Type UNS J12092,,,,,,
,,,,,,,,,,,,,,UNS J12092,,,,,,
,,,,,,,,,,,,,,Grade Type B16,,,,,,
,,,,,,,,,,,,,,Grade B16,,,,,,
,,,,,,,,,,,,,,Type B16,,,,,,
,,,,,,,,,,,,,,B16,,,,,,
,,,,,,,,,,,,,,Grade Type B24V Class 1,,,,,,
,,,,,,,,,,,,,,Grade B24V Class 1,,,,,,
,,,,,,,,,,,,,,Type B24V Class 1,,,,,,
,,,,,,,,,,,,,,B24V Class 1,,,,,,
,,,,,,,,,,,,,,Grade Type B24V Class 2,,,,,,
,,,,,,,,,,,,,,Grade B24V Class 2,,,,,,
,,,,,,,,,,,,,,Type B24V Class 2,,,,,,
,,,,,,,,,,,,,,B24V Class 2,,,,,,
,,,,,,,,,,,,,,Grade Type B24V Class 3,,,,,,
,,,,,,,,,,,,,,Grade B24V Class 3,,,,,,
,,,,,,,,,,,,,,Type B24V Class 3,,,,,,
,,,,,,,,,,,,,,B24V Class 3,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K14072,,,,,,
,,,,,,,,,,,,,,Grade UNS K14072,,,,,,
,,,,,,,,,,,,,,Type UNS K14072,,,,,,
,,,,,,,,,,,,,,UNS K14072,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11591,,,,,,
,,,,,,,,,,,,,,Grade UNS K11591,,,,,,
,,,,,,,,,,,,,,Type UNS K11591,,,,,,
,,,,,,,,,,,,,,UNS K11591,,,,,,
,,,,,,,,,,,,,,"Grade Type D, Class 8",,,,,,
,,,,,,,,,,,,,,"Grade D, Class 8",,,,,,
,,,,,,,,,,,,,,"Type D, Class 8",,,,,,
,,,,,,,,,,,,,,"D, Class 8",,,,,,
,,,,,,,,,,,,,,Grade Type AISI H11,,,,,,
,,,,,,,,,,,,,,Grade AISI H11,,,,,,
,,,,,,,,,,,,,,Type AISI H11,,,,,,
,,,,,,,,,,,,,,AISI H11,,,,,,
,,,,,,,,,,,,,,Grade Type 6150H,,,,,,
,,,,,,,,,,,,,,Grade 6150H,,,,,,
,,,,,,,,,,,,,,Type 6150H,,,,,,
,,,,,,,,,,,,,,6150H,,,,,,
,,,,,,,,,,,,,,Grade Type 6145,,,,,,
,,,,,,,,,,,,,,Grade 6145,,,,,,
,,,,,,,,,,,,,,Type 6145,,,,,,
,,,,,,,,,,,,,,6145,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G61500,,,,,,
,,,,,,,,,,,,,,Grade UNS G61500,,,,,,
,,,,,,,,,,,,,,Type UNS G61500,,,,,,
,,,,,,,,,,,,,,UNS G61500,,,,,,
,,,,,,,,,,,,,,Grade Type UNS H61500,,,,,,
,,,,,,,,,,,,,,Grade UNS H61500,,,,,,
,,,,,,,,,,,,,,Type UNS H61500,,,,,,
,,,,,,,,,,,,,,UNS H61500,,,,,,
,,,,,,,,,,,,,,Grade Type Class D,,,,,,
,,,,,,,,,,,,,,Grade Class D,,,,,,
,,,,,,,,,,,,,,Type Class D,,,,,,
,,,,,,,,,,,,,,Class D,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K23745,,,,,,
,,,,,,,,,,,,,,Grade UNS K23745,,,,,,
,,,,,,,,,,,,,,Type UNS K23745,,,,,,
,,,,,,,,,,,,,,UNS K23745,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K23510,,,,,,
,,,,,,,,,,,,,,Grade UNS K23510,,,,,,
,,,,,,,,,,,,,,Type UNS K23510,,,,,,
,,,,,,,,,,,,,,UNS K23510,,,,,,
,,,,,,,,,,,,,,A ,,,,,,
,,,,,,,,,,,,,,"Grade Type A, Class 1",,,,,,
,,,,,,,,,,,,,,"Grade A, Class 1",,,,,,
,,,,,,,,,,,,,,"Type A, Class 1",,,,,,
,,,,,,,,,,,,,,"A, Class 1",,,,,,
,,,,,,,,,,,,,,Grade Type UNS E71400,,,,,,
,,,,,,,,,,,,,,Grade UNS E71400,,,,,,
,,,,,,,,,,,,,,Type UNS E71400,,,,,,
,,,,,,,,,,,,,,UNS E71400,,,,,,
,,,,,,,,,,,,,,Grade Type Class C,,,,,,
,,,,,,,,,,,,,,Grade Class C,,,,,,
,,,,,,,,,,,,,,Type Class C,,,,,,
,,,,,,,,,,,,,,Class C,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K52440,,,,,,
,,,,,,,,,,,,,,Grade UNS K52440,,,,,,
,,,,,,,,,,,,,,Type UNS K52440,,,,,,
,,,,,,,,,,,,,,UNS K52440,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12542,,,,,,
,,,,,,,,,,,,,,Grade UNS K12542,,,,,,
,,,,,,,,,,,,,,Type UNS K12542,,,,,,
,,,,,,,,,,,,,,UNS K12542,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12022,,,,,,
,,,,,,,,,,,,,,Grade UNS K12022,,,,,,
,,,,,,,,,,,,,,Type UNS K12022,,,,,,
,,,,,,,,,,,,,,UNS K12022,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12021,,,,,,
,,,,,,,,,,,,,,Grade UNS K12021,,,,,,
,,,,,,,,,,,,,,Type UNS K12021,,,,,,
,,,,,,,,,,,,,,UNS K12021,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12003,,,,,,
,,,,,,,,,,,,,,Grade UNS K12003,,,,,,
,,,,,,,,,,,,,,Type UNS K12003,,,,,,
,,,,,,,,,,,,,,UNS K12003,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11803,,,,,,
,,,,,,,,,,,,,,Grade UNS K11803,,,,,,
,,,,,,,,,,,,,,Type UNS K11803,,,,,,
,,,,,,,,,,,,,,UNS K11803,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11742,,,,,,
,,,,,,,,,,,,,,Grade UNS K11742,,,,,,
,,,,,,,,,,,,,,Type UNS K11742,,,,,,
,,,,,,,,,,,,,,UNS K11742,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12524,,,,,,
,,,,,,,,,,,,,,Grade UNS K12524,,,,,,
,,,,,,,,,,,,,,Type UNS K12524,,,,,,
,,,,,,,,,,,,,,UNS K12524,,,,,,
,,,,,,,,,,,,,,Grade D ,,,,,,
,,,,,,,,,,,,,,Type D ,,,,,,
,,,,,,,,,,,,,,Grade Type K,,,,,,
,,,,,,,,,,,,,,Grade K,,,,,,
,,,,,,,,,,,,,,Type K,,,,,,
,,,,,,,,,,,,,,K ,,,,,,
,,,,,,,,,,,,,,"Grade Type 8, Grade 60",,,,,,
,,,,,,,,,,,,,,"Grade 8, Grade 60",,,,,,
,,,,,,,,,,,,,,"Type 8, Grade 60",,,,,,
,,,,,,,,,,,,,,"8, Grade 60",,,,,,
,,,,,,,,,,,,,,"Grade Type 8, Grade 50",,,,,,
,,,,,,,,,,,,,,"Grade 8, Grade 50",,,,,,
,,,,,,,,,,,,,,"Type 8, Grade 50",,,,,,
,,,,,,,,,,,,,,"8, Grade 50",,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12202,,,,,,
,,,,,,,,,,,,,,Grade UNS K12202,,,,,,
,,,,,,,,,,,,,,Type UNS K12202,,,,,,
,,,,,,,,,,,,,,UNS K12202,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12447,,,,,,
,,,,,,,,,,,,,,Grade UNS K12447,,,,,,
,,,,,,,,,,,,,,Type UNS K12447,,,,,,
,,,,,,,,,,,,,,UNS K12447,,,,,,
,,,,,,,,,,,,,,Grade Type E ,,,,,,
,,,,,,,,,,,,,,Grade Type F65,,,,,,
,,,,,,,,,,,,,,Grade F65,,,,,,
,,,,,,,,,,,,,,Type F65,,,,,,
,,,,,,,,,,,,,,F65,,,,,,
,,,,,,,,,,,,,,Grade Type X60,,,,,,
,,,,,,,,,,,,,,Grade X60,,,,,,
,,,,,,,,,,,,,,Type X60,,,,,,
,,,,,,,,,,,,,,X60,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K02002,,,,,,
,,,,,,,,,,,,,,Grade UNS K02002,,,,,,
,,,,,,,,,,,,,,Type UNS K02002,,,,,,
,,,,,,,,,,,,,,UNS K02002,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12004,,,,,,
,,,,,,,,,,,,,,Grade UNS K12004,,,,,,
,,,,,,,,,,,,,,Type UNS K12004,,,,,,
,,,,,,,,,,,,,,UNS K12004,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K02900,,,,,,
,,,,,,,,,,,,,,Grade UNS K02900,,,,,,
,,,,,,,,,,,,,,Type UNS K02900,,,,,,
,,,,,,,,,,,,,,UNS K02900,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21650,,,,,,
,,,,,,,,,,,,,,Grade UNS K21650,,,,,,
,,,,,,,,,,,,,,Type UNS K21650,,,,,,
,,,,,,,,,,,,,,UNS K21650,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21604,,,,,,
,,,,,,,,,,,,,,Grade UNS K21604,,,,,,
,,,,,,,,,,,,,,Type UNS K21604,,,,,,
,,,,,,,,,,,,,,UNS K21604,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11872,,,,,,
,,,,,,,,,,,,,,Grade UNS K11872,,,,,,
,,,,,,,,,,,,,,Type UNS K11872,,,,,,
,,,,,,,,,,,,,,UNS K11872,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11856,,,,,,
,,,,,,,,,,,,,,Grade UNS K11856,,,,,,
,,,,,,,,,,,,,,Type UNS K11856,,,,,,
,,,,,,,,,,,,,,UNS K11856,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11847,,,,,,
,,,,,,,,,,,,,,Grade UNS K11847,,,,,,
,,,,,,,,,,,,,,Type UNS K11847,,,,,,
,,,,,,,,,,,,,,UNS K11847,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11804,,,,,,
,,,,,,,,,,,,,,Grade UNS K11804,,,,,,
,,,,,,,,,,,,,,Type UNS K11804,,,,,,
,,,,,,,,,,,,,,UNS K11804,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11683,,,,,,
,,,,,,,,,,,,,,Grade UNS K11683,,,,,,
,,,,,,,,,,,,,,Type UNS K11683,,,,,,
,,,,,,,,,,,,,,UNS K11683,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11682,,,,,,
,,,,,,,,,,,,,,Grade UNS K11682,,,,,,
,,,,,,,,,,,,,,Type UNS K11682,,,,,,
,,,,,,,,,,,,,,UNS K11682,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11662,,,,,,
,,,,,,,,,,,,,,Grade UNS K11662,,,,,,
,,,,,,,,,,,,,,Type UNS K11662,,,,,,
,,,,,,,,,,,,,,UNS K11662,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11646,,,,,,
,,,,,,,,,,,,,,Grade UNS K11646,,,,,,
,,,,,,,,,,,,,,Type UNS K11646,,,,,,
,,,,,,,,,,,,,,UNS K11646,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11630,,,,,,
,,,,,,,,,,,,,,Grade UNS K11630,,,,,,
,,,,,,,,,,,,,,Type UNS K11630,,,,,,
,,,,,,,,,,,,,,UNS K11630,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11625,,,,,,
